http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
http://localhost:5000/?name=John~,1
http://localhost:5000/http://localhost:5000/?id=1'%20OR%201=1--"1=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?q=<script>alert(1)</script>,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/?id=1'%20OR%201=1--,1
http://localhost:5000/predict?q=<script>alert(1)</script>,1
timestamp,ip,url,action,reason
timestamp,ip,url,action,reason
2025-07-12 15:27:09,127.0.0.1,http://localhost:5000/?q=<script>alert(1)</script>,BLOCKED,Rule-based detection
2025-07-12 15:27:15,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 15:27:15,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 15:27:47,127.0.0.1,http://localhost:5000/?q=DROP%20TABLE%20users,ALLOWED,
2025-07-12 15:27:50,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 15:28:47,127.0.0.1,http://localhost:5000/?q=<script>alert(1)</script>,BLOCKED,Rule-based detection
2025-07-12 15:28:51,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 15:29:09,127.0.0.1,"http://localhost:5000/?search=UNION%20SELECT%20null,%20username,%20password%20FROM%20users",BLOCKED,Rule-based detection
2025-07-12 15:29:11,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 15:29:30,127.0.0.1,http://localhost:5000/?search=DROP%20TABLE%20usersDROP%20TABLE%20users,ALLOWED,
2025-07-12 15:29:32,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 17:02:05,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 17:05:11,127.0.0.1,http://localhost:5000/page?id=1,ALLOWED,
2025-07-12 17:08:18,127.0.0.1,http://localhost:5000/product?id=1,ALLOWED,
2025-07-12 17:13:19,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:20:06,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:23:51,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:24:02,127.0.0.1,http://localhost:5000/favicon.ico,ALLOWED,
2025-07-12 17:25:52,127.0.0.1,http://localhost:5000/product?id=1,ALLOWED,
2025-07-12 17:27:08,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,"http://localhost:5000/search?q=test&GSIX=2084%20AND%201%3D1%20UNION%20ALL%20SELECT%201,NULL,'<script>alert(""XSS"")</script>',table_name%20FROM%20information_schema.tables%20WHERE%202>1--/**/;%20EXEC%20xp_cmdshell('cat%20../../../etc/passwd')%23",BLOCKED,Rule-based detection
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=6148,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,"http://localhost:5000/search?q=test(.,.""),'))",ALLOWED,
2025-07-12 17:36:45,127.0.0.1,"http://localhost:5000/search?q=test'PjQPQb<'"">XNqvSI",ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test')%20AND%208756%3D4410%20AND%20('INne'%3D'INne,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test')%20AND%201426%3D1426%20AND%20('apBI'%3D'apBI,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test'%20AND%203458%3D7435%20AND%20'KJmO'%3D'KJmO,ALLOWED,
2025-07-12 17:36:45,127.0.0.1,http://localhost:5000/search?q=test'%20AND%201426%3D1426%20AND%20'hZTA'%3D'hZTA,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test)%20AND%207707%3D4275%20AND%20(2329%3D2329,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test)%20AND%201426%3D1426%20AND%20(3114%3D3114,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%201036%3D6828,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%201426%3D1426,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%207659%3D5671--%20Plqp,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%201426%3D1426--%20ZTTL,ALLOWED,
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=(SELECT%20(CASE%20WHEN%20(4496%3D6993)%20THEN%20'test'%20ELSE%20(SELECT%206993%20UNION%20SELECT%204770)%20END)),BLOCKED,Rule-based detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=(SELECT%20(CASE%20WHEN%20(2240%3D2240)%20THEN%20'test'%20ELSE%20(SELECT%202580%20UNION%20SELECT%206103)%20END)),BLOCKED,Rule-based detection
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=test')%20AND%20EXTRACTVALUE(9927,CONCAT(0x5c,0x71716a7871,(SELECT%20(ELT(9927%3D9927,1))),0x7171626b71))%20AND%20('tCKs'%3D'tCKs",ALLOWED,
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=test'%20AND%20EXTRACTVALUE(9927,CONCAT(0x5c,0x71716a7871,(SELECT%20(ELT(9927%3D9927,1))),0x7171626b71))%20AND%20'EUGL'%3D'EUGL",ALLOWED,
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=test)%20AND%20EXTRACTVALUE(9927,CONCAT(0x5c,0x71716a7871,(SELECT%20(ELT(9927%3D9927,1))),0x7171626b71))%20AND%20(3422%3D3422",BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=test%20AND%20EXTRACTVALUE(9927,CONCAT(0x5c,0x71716a7871,(SELECT%20(ELT(9927%3D9927,1))),0x7171626b71))",BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,"http://localhost:5000/search?q=test%20AND%20EXTRACTVALUE(9927,CONCAT(0x5c,0x71716a7871,(SELECT%20(ELT(9927%3D9927,1))),0x7171626b71))--%20SajX",BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test')%20AND%202376%3DCAST((CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113))||(SELECT%20(CASE%20WHEN%20(2376%3D2376)%20THEN%201%20ELSE%200%20END))::text||(CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113))%20AS%20NUMERIC)%20AND%20('wdjM'%3D'wdjM,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test'%20AND%202376%3DCAST((CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113))||(SELECT%20(CASE%20WHEN%20(2376%3D2376)%20THEN%201%20ELSE%200%20END))::text||(CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113))%20AS%20NUMERIC)%20AND%20'shFw'%3D'shFw,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test)%20AND%202376%3DCAST((CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113))||(SELECT%20(CASE%20WHEN%20(2376%3D2376)%20THEN%201%20ELSE%200%20END))::text||(CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113))%20AS%20NUMERIC)%20AND%20(6316%3D6316,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%202376%3DCAST((CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113))||(SELECT%20(CASE%20WHEN%20(2376%3D2376)%20THEN%201%20ELSE%200%20END))::text||(CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113))%20AS%20NUMERIC),BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%202376%3DCAST((CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113))||(SELECT%20(CASE%20WHEN%20(2376%3D2376)%20THEN%201%20ELSE%200%20END))::text||(CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113))%20AS%20NUMERIC)--%20oXWN,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test')%20AND%203178%20IN%20(SELECT%20(CHAR(113)%2BCHAR(113)%2BCHAR(106)%2BCHAR(120)%2BCHAR(113)%2B(SELECT%20(CASE%20WHEN%20(3178%3D3178)%20THEN%20CHAR(49)%20ELSE%20CHAR(48)%20END))%2BCHAR(113)%2BCHAR(113)%2BCHAR(98)%2BCHAR(107)%2BCHAR(113)))%20AND%20('TPWs'%3D'TPWs,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test'%20AND%203178%20IN%20(SELECT%20(CHAR(113)%2BCHAR(113)%2BCHAR(106)%2BCHAR(120)%2BCHAR(113)%2B(SELECT%20(CASE%20WHEN%20(3178%3D3178)%20THEN%20CHAR(49)%20ELSE%20CHAR(48)%20END))%2BCHAR(113)%2BCHAR(113)%2BCHAR(98)%2BCHAR(107)%2BCHAR(113)))%20AND%20'uaqb'%3D'uaqb,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test)%20AND%203178%20IN%20(SELECT%20(CHAR(113)%2BCHAR(113)%2BCHAR(106)%2BCHAR(120)%2BCHAR(113)%2B(SELECT%20(CASE%20WHEN%20(3178%3D3178)%20THEN%20CHAR(49)%20ELSE%20CHAR(48)%20END))%2BCHAR(113)%2BCHAR(113)%2BCHAR(98)%2BCHAR(107)%2BCHAR(113)))%20AND%20(4407%3D4407,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%203178%20IN%20(SELECT%20(CHAR(113)%2BCHAR(113)%2BCHAR(106)%2BCHAR(120)%2BCHAR(113)%2B(SELECT%20(CASE%20WHEN%20(3178%3D3178)%20THEN%20CHAR(49)%20ELSE%20CHAR(48)%20END))%2BCHAR(113)%2BCHAR(113)%2BCHAR(98)%2BCHAR(107)%2BCHAR(113))),BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test%20AND%203178%20IN%20(SELECT%20(CHAR(113)%2BCHAR(113)%2BCHAR(106)%2BCHAR(120)%2BCHAR(113)%2B(SELECT%20(CASE%20WHEN%20(3178%3D3178)%20THEN%20CHAR(49)%20ELSE%20CHAR(48)%20END))%2BCHAR(113)%2BCHAR(113)%2BCHAR(98)%2BCHAR(107)%2BCHAR(113)))--%20NnPX,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test')%20AND%205992%3D(SELECT%20UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113)||(SELECT%20(CASE%20WHEN%20(5992%3D5992)%20THEN%201%20ELSE%200%20END)%20FROM%20DUAL)||CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113)||CHR(62)))%20FROM%20DUAL)%20AND%20('bOzV'%3D'bOzV,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test'%20AND%205992%3D(SELECT%20UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113)||(SELECT%20(CASE%20WHEN%20(5992%3D5992)%20THEN%201%20ELSE%200%20END)%20FROM%20DUAL)||CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113)||CHR(62)))%20FROM%20DUAL)%20AND%20'FceP'%3D'FceP,BLOCKED,UBA anomaly detection
2025-07-12 17:36:46,127.0.0.1,http://localhost:5000/search?q=test)%20AND%205992%3D(SELECT%20UPPER(XMLType(CHR(60)||CHR(58)||CHR(113)||CHR(113)||CHR(106)||CHR(120)||CHR(113)||(SELECT%20(CASE%20WHEN%20(5992%3D5992)%20THEN%201%20ELSE%200%20END)%20FROM%20DUAL)||CHR(113)||CHR(113)||CHR(98)||CHR(107)||CHR(113)||CHR(62)))%20FROM%20DUAL)%20AND%20(9597%3D9597,BLOCKED,UBA anomaly detection
